feature,total_digits,chi_square_vs_uniform,max_digit_share,digit_0,digit_1,digit_2,digit_3,digit_4,digit_5,digit_6,digit_7,digit_8,digit_9
feature_01,219726,19.373692689986623,0.1018404740449469,22377,22148,21775,22186,21806,21716,21816,22104,21882,21916
feature_69,235637,18.999736883426625,0.10154177824365443,23384,23684,23808,23266,23425,23644,23303,23487,23927,23709
feature_08,234145,17.4520275897414,0.10099297443891606,23187,23533,23079,23602,23647,23553,23643,23233,23225,23443
feature_49,235637,17.33743427390435,0.10205103612760305,23652,23499,23573,24047,23433,23329,23325,23459,23614,23706
feature_62,234104,17.008867853603526,0.10183508184396678,23607,23513,23218,23270,23359,23523,23154,23840,23367,23253
feature_67,235637,16.606055076240146,0.10174548139723388,23521,23569,23975,23515,23356,23373,23558,23596,23326,23848
feature_03,219726,14.919508842831526,0.1010303741933135,22033,22060,21946,22020,22199,21956,22097,21715,21576,22124
feature_53,214380,14.30478589420655,0.1012501166153559,21372,21420,21596,21706,21507,21445,21486,21130,21572,21146
feature_37,235620,13.407944996180289,0.10099312452253628,23616,23491,23661,23677,23255,23534,23796,23757,23251,23582
feature_58,233253,13.269629972604854,0.10167071806150403,23254,23387,23325,23715,23037,23263,23414,23400,23107,23351
feature_43,235304,13.139530139734129,0.10145598884846836,23293,23873,23710,23447,23268,23455,23632,23562,23604,23460
feature_39,214157,12.88718556946539,0.10171042739672297,21321,21501,21359,21414,21782,21552,21271,21389,21130,21438
feature_40,235304,12.720242749804507,0.10150698670655832,23885,23504,23468,23466,23440,23608,23690,23574,23487,23182
feature_38,235637,12.558303661988568,0.10143568285116514,23287,23752,23441,23469,23495,23604,23503,23462,23902,23722
feature_52,230439,12.517885427379914,0.10104626387026501,22879,23082,23117,23062,23283,23285,23094,22788,23070,22779
feature_64,234388,12.446012594501424,0.10105466150144206,23666,23475,23189,23514,23369,23433,23450,23487,23686,23119
feature_65,233917,11.852669964132577,0.10094178704412249,23525,23422,23612,23430,23353,23214,23282,23440,23045,23594
feature_33,233253,11.800409855393072,0.1013706147402177,23437,23245,23025,23320,23480,23204,23188,23645,23403,23306
feature_76,235323,11.785252610242095,0.10117158118840912,23334,23808,23389,23765,23302,23563,23613,23523,23399,23627
feature_56,235636,11.441986793189495,0.10176288852297612,23535,23598,23464,23396,23979,23507,23369,23592,23518,23678
feature_32,233253,11.43677037380012,0.10136204035960952,23643,23356,23295,23334,23220,23168,23536,23093,23424,23184
feature_54,235565,11.33404792732367,0.1011398127905249,23278,23825,23495,23644,23483,23661,23770,23587,23430,23392
feature_50,214380,11.157850545759866,0.10143670118481202,21258,21660,21449,21481,21347,21746,21378,21487,21307,21267
feature_05,235637,10.132708360741308,0.10146114574536257,23497,23560,23908,23385,23455,23524,23531,23714,23681,23382
feature_14,235637,9.909823160199798,0.10102827654400624,23605,23742,23347,23528,23806,23621,23356,23703,23526,23403
feature_55,230439,9.71349901709346,0.10118946879651448,22971,23318,22993,23096,22903,23175,23132,22945,23136,22770
feature_42,214157,9.596422250965414,0.10132286126533338,21481,21304,21297,21238,21375,21387,21273,21591,21699,21512
feature_78,235524,9.539681730948862,0.10096211001851191,23392,23292,23670,23779,23603,23455,23492,23458,23728,23655
feature_12,235637,9.394623934271781,0.10123622351328526,23855,23443,23700,23460,23606,23349,23456,23719,23470,23579
feature_44,230202,9.244298485677795,0.10095915760940391,23241,23149,22874,22741,23181,23062,23081,23013,22914,22946
feature_07,235637,9.155272728815932,0.10054448155425506,23560,23692,23164,23573,23647,23571,23667,23676,23608,23479
feature_17,234649,8.817293063256182,0.10092521169917622,23682,23554,23681,23305,23485,23356,23208,23434,23483,23461
feature_48,235637,8.733267695650513,0.10072696562933665,23430,23676,23673,23680,23462,23709,23529,23735,23455,23288
feature_00,219726,8.635682622903072,0.10107588542093335,21928,21897,21875,22069,21751,22183,21859,21955,22209,22000
feature_13,235637,8.61308283503864,0.10105373943820367,23484,23620,23307,23718,23493,23575,23569,23812,23398,23661
feature_72,235637,8.409379681459193,0.10115983483069298,23618,23365,23367,23692,23586,23837,23511,23672,23520,23469
feature_71,235637,7.958007443652737,0.10100281364980881,23606,23651,23497,23673,23519,23800,23244,23523,23564,23560
feature_63,234435,7.802866466184656,0.10125621174312709,23260,23413,23315,23374,23738,23397,23570,23399,23393,23576
feature_18,235636,7.331154832029063,0.10081226977202125,23526,23508,23747,23755,23620,23375,23509,23361,23549,23686
feature_68,235637,7.294614173495674,0.1010494956225041,23449,23719,23811,23412,23550,23464,23536,23545,23715,23436
feature_06,235637,7.06510862046283,0.10084154865322509,23583,23402,23737,23624,23407,23762,23417,23530,23684,23491
feature_46,233917,6.979573951444316,0.10089048679659879,23600,23413,23338,23237,23196,23486,23511,23414,23241,23481
feature_35,235637,6.91844234988563,0.10123622351328526,23642,23441,23855,23556,23460,23684,23575,23544,23423,23457
feature_59,235637,6.641575813645566,0.10093915641431524,23684,23429,23432,23785,23605,23640,23371,23532,23504,23655
feature_36,235637,6.459346367505952,0.10070574655083879,23520,23650,23421,23608,23492,23673,23730,23582,23305,23656
feature_73,233222,6.141856257128401,0.10109680904888904,23578,23308,23161,23307,23462,23189,23301,23390,23295,23231
feature_45,233917,5.690398731173878,0.10069811086838494,23540,23369,23331,23306,23537,23365,23168,23555,23386,23360
feature_51,235565,5.54396875596969,0.100668605268185,23380,23390,23516,23583,23714,23695,23540,23609,23674,23464
feature_02,219726,5.378990196881571,0.10067993774064062,21745,22034,22063,21975,21960,21959,21846,21931,22091,22122
feature_70,235637,5.153524276747708,0.10055721300135377,23535,23695,23422,23362,23593,23663,23460,23647,23682,23578
feature_19,235636,4.93211563598092,0.10072314926411924,23734,23377,23495,23448,23701,23530,23640,23496,23611,23604
feature_34,235637,4.7594435508854716,0.10055721300135377,23310,23623,23551,23496,23619,23530,23687,23525,23695,23601
feature_16,235635,4.558342351518238,0.1008933307870223,23510,23422,23623,23488,23571,23441,23566,23689,23551,23774
feature_15,229587,4.169752642789008,0.10077661191617993,22880,22913,22955,23009,23137,23026,22985,22780,23040,22862
feature_47,235637,4.100039467486006,0.1006123826054482,23526,23547,23690,23568,23620,23396,23454,23478,23650,23708
feature_77,235524,3.9150320137225925,0.10052054143102189,23550,23614,23431,23611,23413,23417,23635,23675,23652,23526
feature_41,230202,3.51011720141441,0.10094612557666745,23000,23027,23001,22952,23238,23053,22893,22966,22976,23096
feature_60,235637,3.2157131520092346,0.10047233668736234,23621,23501,23604,23657,23355,23558,23527,23590,23549,23675
feature_57,235636,2.792374679590555,0.10057037125057292,23586,23527,23636,23638,23698,23583,23574,23522,23423,23449
feature_75,235323,2.516545344059017,0.1004704172562818,23463,23643,23437,23552,23604,23542,23421,23546,23475,23640
